Gene stable ID,9ca1b249-c310-4c30-83ea-2558b46f5332
ENSG00000005513,5925
ENSG00000005700,3211
ENSG00000005801,2396
ENSG00000005810,4656
ENSG00000005812,4320
ENSG00000005844,433
ENSG00000005882,1125
ENSG00000005884,384
ENSG00000005889,4578
ENSG00000005893,9612
ENSG00000005961,57
ENSG00000005981,348
ENSG00000006007,5471
ENSG00000006015,774
ENSG00000006016,133
ENSG00000006025,538
ENSG00000006042,3571
ENSG00000006047,205
ENSG00000006059,1
ENSG00000006062,1030
ENSG00000006071,0
ENSG00000006116,1
ENSG00000006118,3888
ENSG00000006125,12641
ENSG00000006128,0
ENSG00000006194,2169
ENSG00000006210,3653
ENSG00000006282,385
ENSG00000006283,0
ENSG00000006327,2138
ENSG00000006377,702
ENSG00000006432,2305
ENSG00000006451,9945
ENSG00000006453,5593
ENSG00000006459,4850
ENSG00000006468,437
ENSG00000006530,3156
ENSG00000006534,628
ENSG00000006555,1497
ENSG00000006576,1503
ENSG00000006606,10
ENSG00000006607,2556
ENSG00000006611,1
ENSG00000006625,5272
ENSG00000006634,1308
ENSG00000006638,89
ENSG00000006652,4015
ENSG00000006659,0
ENSG00000006695,761
ENSG00000006704,2300
ENSG00000006712,3075
ENSG00000006715,6548
ENSG00000006740,963
ENSG00000006744,3088
ENSG00000006747,84
ENSG00000006756,7515
ENSG00000006757,3677
ENSG00000006788,3
ENSG00000006831,7642
ENSG00000006837,48
ENSG00000007001,54
ENSG00000007038,393
ENSG00000007047,5444
ENSG00000007062,14972
ENSG00000007080,1836
ENSG00000007129,24
ENSG00000007168,5769
ENSG00000007171,50
ENSG00000007174,1
ENSG00000007202,8181
ENSG00000007216,75
ENSG00000007237,295
ENSG00000007255,349
ENSG00000007264,70
ENSG00000007306,2
ENSG00000007312,63
ENSG00000007314,62
ENSG00000007341,1120
ENSG00000007350,0
ENSG00000007372,1090
ENSG00000007376,1806
ENSG00000007384,1225
ENSG00000007392,1158
ENSG00000007402,95
ENSG00000007516,179
ENSG00000007520,902
ENSG00000007541,1517
ENSG00000007545,1786
ENSG00000007866,3902
ENSG00000007908,129
ENSG00000007923,1516
ENSG00000007933,30
ENSG00000007944,681
ENSG00000007952,119
ENSG00000007968,616
ENSG00000008018,4535
ENSG00000008056,343
ENSG00000008083,3726
ENSG00000008086,1499
ENSG00000008118,4
ENSG00000008128,184
ENSG00000008130,1375
ENSG00000008196,6
ENSG00000008197,0
ENSG00000008226,24
ENSG00000008256,1436
ENSG00000008277,809
ENSG00000008282,4073
ENSG00000008283,5915
ENSG00000008294,3242
ENSG00000008300,460
ENSG00000008311,81
ENSG00000008323,1580
ENSG00000008324,650
ENSG00000008382,419
ENSG00000008394,11243
ENSG00000008405,3246
ENSG00000008438,3
ENSG00000008441,9507
ENSG00000008513,3946
ENSG00000008516,1944
ENSG00000008517,3031
ENSG00000008710,3222
ENSG00000008735,435
ENSG00000008838,4122
ENSG00000008853,143
ENSG00000008869,6600
ENSG00000008952,9938
ENSG00000008988,75462
ENSG00000009307,130449
