Gene stable ID,5a2ae0bd-d23c-4104-a33b-7024cf61b597
ENSG00000006025,747
ENSG00000006042,4636
ENSG00000006047,63
ENSG00000006059,62
ENSG00000006062,927
ENSG00000006071,404
ENSG00000006116,2
ENSG00000006118,3059
ENSG00000006125,10627
ENSG00000006128,10
ENSG00000006194,2365
ENSG00000006210,1735
ENSG00000006282,3613
ENSG00000006283,70
ENSG00000006327,3223
ENSG00000006377,5
ENSG00000006432,1112
ENSG00000006451,5841
ENSG00000006453,2715
ENSG00000006459,2643
ENSG00000006468,854
ENSG00000006530,1281
ENSG00000006534,594
ENSG00000006555,710
ENSG00000006576,2710
ENSG00000006606,16
ENSG00000006607,2584
ENSG00000006611,30
ENSG00000006625,4795
ENSG00000006634,422
ENSG00000006638,168
ENSG00000006652,843
ENSG00000006659,3
ENSG00000006695,801
ENSG00000006704,2122
ENSG00000006712,5157
ENSG00000006715,4887
ENSG00000006740,911
ENSG00000006744,3898
ENSG00000006747,308
ENSG00000006756,14184
ENSG00000006757,2895
ENSG00000006788,109
ENSG00000006831,6218
ENSG00000006837,79
ENSG00000007001,5
ENSG00000007038,70
ENSG00000007047,1776
ENSG00000007062,7447
ENSG00000007080,1270
ENSG00000007129,77
ENSG00000007168,10937
ENSG00000007171,76
ENSG00000007174,45
ENSG00000007202,27801
ENSG00000007216,430
ENSG00000007237,5852
ENSG00000007255,1056
ENSG00000007264,59
ENSG00000007306,6
ENSG00000007312,173
ENSG00000007314,41
ENSG00000007341,1014
ENSG00000007350,2
ENSG00000007372,139
ENSG00000007376,839
ENSG00000007384,2656
ENSG00000007392,2078
ENSG00000007402,269
ENSG00000007516,403
ENSG00000007520,1985
ENSG00000007541,2737
ENSG00000007545,1270
ENSG00000007866,1640
ENSG00000007908,356
ENSG00000007923,2047
ENSG00000007933,663
ENSG00000007944,2845
ENSG00000007952,35
ENSG00000007968,169
ENSG00000008018,12943
ENSG00000008056,79
ENSG00000008083,1904
ENSG00000008086,2885
ENSG00000008118,17
ENSG00000008128,200
ENSG00000008130,2880
ENSG00000008196,7555
ENSG00000008197,0
ENSG00000008226,18
ENSG00000008256,3418
ENSG00000008277,712
ENSG00000008282,11830
ENSG00000008283,19385
ENSG00000008294,8352
ENSG00000008300,296
ENSG00000008311,412
ENSG00000008323,489
ENSG00000008324,404
ENSG00000008382,1060
ENSG00000008394,18029
ENSG00000008405,2433
ENSG00000008438,0
ENSG00000008441,12103
ENSG00000008513,7672
ENSG00000008516,51
ENSG00000008517,3131
ENSG00000008710,3023
ENSG00000008735,2610
ENSG00000008838,4737
ENSG00000008853,2122
ENSG00000008869,4105
ENSG00000008952,18856
ENSG00000008988,31859
ENSG00000009307,52992
ENSG00000009335,6917
ENSG00000009413,2091
ENSG00000009694,48
ENSG00000009709,0
ENSG00000009724,50
ENSG00000009765,261
ENSG00000009780,1000
ENSG00000009790,305
ENSG00000009830,1376
ENSG00000009844,3757
ENSG00000009950,20
ENSG00000009954,9556
ENSG00000010017,4286
ENSG00000010030,234
ENSG00000010072,1079
ENSG00000010165,4998
ENSG00000010219,660
ENSG00000010244,10209
